Drug Class,Drug Name
5 alpha-reductase inhibitors,"Finasteride, dutasteride"
Acetylcholinesterase inhibitors,"Donepezil, rivastigmine, pyridostigmine"
Acetylcysteine and carbocisteine,"Carbocisteine, acetylcysteine"
Aldosterone antagonists,"Spironolactone, eplerenone"
Allopurinol,Allopurinol
Alginates and antacids,"Alginic acid compound preparations, sodium bicarbonate"
Alpha-blockers,"Tamsulosin, doxazosin, alfuzosin"
Aminoglycoside,"Gentamicin, amikacin, neomycin"
Aminosalicylates,"Mesalazine, sulfasalazine"
Amiodarone,Amiodarone
"Anaesthetics, general","Propofol, thiopental, sevoflurane, nitrous oxide, ketamine"
"Anaesthetics, local","Lidocaine, bupivacaine, levobupivacaine"
Angiotensin receptor blockers,"Losartan, candesartan, irbesartan"
Angiotensin-converting enzyme (ACE) inhibitors,"Ramipril, lisinopril, perindopril"
"Antidepressants, selective serotonin reuptake inhibitors","Sertraline, citalopram, fluoxetine, escitalopram"
"Antidepressants, tetracyclic and serotonin-noradrenaline reuptake inhibitors","Venlafaxine, mirtazapine, duloxetine"
"Antidepressants, tricyclics and related drugs","Amitriptyline, trazodone, nortriptyline, lofepramine"
"Antiemetics, dopamine D2-receptor antagonists","Metoclopramide, prochlorperazine, domperidone"
"Antiemetics, histamine H1-receptor antagonists","Cyclizine, promethazine, cinnarizine"
"Antiemetics, serotonin 5-HT3-receptor antagonists","Ondansetron, granisetron"
Antifungal drugs,"Nystatin, clotrimazole, fluconazole"
Antihistamines (H1-receptor antagonists),"Cetirizine, fexofenadine, loratadine, chlorphenamine"
"Antimuscarinics, bronchodilators","Tiotropium, umeclidinium, glycopyrronium, ipratropium"
"Antimuscarinics, cardiovascular and GI uses","Hyoscine butylbromide, atropine, glycopyrronium"
"Antimuscarinics, genitourinary uses","Solifenacin, oxybutynin, tolterodine"
"Antiplatelet drugs, ADP-receptor antagonists","Clopidogrel, ticagrelor, prasugrel"
"Antiplatelet drugs, aspirin",Aspirin
"Antipsychotics, first-generation (typical)","Haloperidol, chlorpromazine, flupentixol"
"Antipsychotics, second-generation (atypical)","Quetiapine, olanzapine, risperidone, clozapine"
"Antiviral drugs, aciclovir",Aciclovir
"Antiviral drugs, other","Oseltamivir, nirmatrelvir, tenofovir, efavirenz, atazanavir"
Benzodiazepines,"Diazepam, midazolam, lorazepam, chlordiazepoxide"
Beta2-agonists,"Salbutamol, formoterol, salmeterol, indacaterol"
Beta-blockers,"Bisoprolol, atenolol, propranolol, metoprolol, carvedilol"
Bisphosphonates,"Alendronic acid, risedronate, disodium pamidronate, zoledronic acid"
Calcium and vitamin D,"Colecalciferol, alfacalcidol, calcium carbonate, calcium gluconate"
Calcium channel blockers,"Amlodipine, felodipine, nifedipine, diltiazem, verapamil"
Carbamazepine,Carbamazepine
Cephalosporins and carbapenems,"Cefuroxime, ceftriaxone, cefalexin, meropenem, ertapenem"
Chloramphenicol,Chloramphenicol
Clindamycin,Clindamycin
"Corticosteroids, inhaled","Beclometasone, fluticasone, budesonide"
"Corticosteroids, nasal","Beclometasone, mometasone, fluticasone"
"Corticosteroids, systemic","Dexamethasone, prednisolone, hydrocortisone"
"Corticosteroids, topical","Hydrocortisone, betamethasone, clobetasone"
Digoxin,Digoxin
Dipeptidylpeptidase-4 inhibitors,"Sitagliptin, linagliptin, alogliptin"
Direct oral anticoagulants,"Apixaban, rivaroxaban, edoxaban, dabigatran"
"Diuretics, loop","Furosemide, bumetanide"
"Diuretics, thiazide and thiazide-like","Bendroflumethiazide, indapamide, chlortalidone"
Dopaminergic drugs for Parkinson's disease,"Levodopa (as co-careldopa, co-beneldopa), ropinirole, pramipexol"
Emollients,"Liquid paraffin, white soft paraffin"
Gabapentinoids,"Pregabalin, gabapentin"
Glycopeptide antibiotics,"Vancomycin, teicoplanin"
H2-receptor antagonists,"Ranitidine, cimetidine, famotidine"
Heparins and fondaparinux,"Enoxaparin, dalteparin, fondaparinux, unfractionated heparin"
Hormone antagonists and agonists used in breast and prostate cancer,"Letrozole, tamoxifen, anastrozole (breast); bicalutamide, goserelin (prostate)"
Insulin,"Insulin aspart, insulin glargine, biphasic insulin, soluble insulin"
Iron,"Ferrous sulfate, ferrous fumarate"
Lamotrigine,Lamotrigine
"Laxatives, oral","Macrogol 3350, lactulose (osmotic); senna, docusate sodium (stimulant)"
"Laxatives, rectal","Glycerol, sodium citrate, phosphates"
Leukotriene receptor antagonists,"Montelukast, zafirlukast"
Macrolides,"Clarithromycin, azithromycin, erythromycin"
Metformin,Metformin
Methotrexate,Methotrexate
Metronidazole,Metronidazole
Monoclonal antibodies,"Infliximab, adalimumab, denosumab, rituximab, omalizumab"
Nitrates,"Glyceryl trinitrate, isosorbide mononitrate"
Nitrofurantoin,Nitrofurantoin
