Investigation,Discipline
Full blood count,Haematology
Blood film,Haematology
Group and save/crossmatch,Haematology
Clotting screen,Haematology
D dimer,Haematology
Erythrocyte Sedimentary Rate (ESR),Haematology
Urinalysis,Clinical biochemistry
Arterial blood gas,Clinical biochemistry
Renal function,Clinical biochemistry
Bone profile,Clinical biochemistry
Blood glucose,Clinical biochemistry
C-Reactive Protein (CRP),Clinical biochemistry
Haemoglobin A1c,Clinical biochemistry
Cardiac enzymes,Clinical biochemistry
nt-proBNP,Clinical biochemistry
Lipid profile,Clinical biochemistry
Liver biochemistry,Clinical biochemistry
Amylase/lipase,Clinical biochemistry
Faecal calprotectin,Clinical biochemistry
"Hormone profiles: thyroid function, parathyroid tests",Clinical biochemistry
"Therapeutic drug monitoring, including antibiotic levels",Clinical biochemistry
"Tumour markers (PSA, CA125, CEA, CA19-9)",Clinical biochemistry
Coeliac autoantibodies,Immunology
Liver autoantibodies,Immunology
Thyroid autoantibodies,Immunology
"Anti-nuclear antibodies, ANA",Immunology
Anti-DNA antibodies,Immunology
Anti-ENAs,Immunology
Rheumatoid factor RhF,Immunology
Anti-CCP,Immunology
Chest X-ray,Radiology
Abdominal X-ray,Radiology
Skeletal X-ray,Radiology
Renal ultrasound,Radiology
Ultrasound scan of the abdomen,Radiology
Dual Energy X-ray Absorptiometry (DEXA) for osteoporosis,Radiology
CT scan in stroke,Radiology
CT scan of abdomen and pelvis,Radiology
CT urogram,Radiology
CT KUB,Radiology
Trauma CT scan,Radiology
MRI,Radiology
Use of ultrasound vs CT,Radiology
ECG,Physiological tests
"Urinalysis, microscopy and culture",Medical microbiology
Sputum culture,Medical microbiology
"Wound and skin swabs, including MRSA swabs",Medical microbiology
Stool culture,Medical microbiology
Stool antigen testing,Medical microbiology
Viral serology,Medical microbiology
Blood cultures,Medical microbiology
CSF - normal and abnormal constituents,Neuroplus investigations
"Microbiology (cell count, cultures)",Neuroplus investigations
Virology (including PCR),Neuroplus investigations
Biochemistry (protein and glucose),Neuroplus investigations
CSF Oligoclonal bands,Neuroplus investigations
CSF opening pressure,Neuroplus investigations
Neuroimmunology bloods,Neuroplus investigations
Acetyl choline receptor antibodies,Neuroplus investigations
Autoimmune screening tests,Neuroplus investigations
Imaging,Neuroplus investigations
CT brain scan in stroke & neurology emergencies,Neuroplus investigations
MRI brain,Neuroplus investigations
CT and MRI imaging of the spine and nerve roots,Neuroplus investigations
"Neurovascular imaging (doppler ultrasound, CT angiogram, MR angiogram)",Neuroplus investigations
Neurophysiology,Neuroplus investigations
Electroencephalography (EEG),Neuroplus investigations
Electromyography (EMG),Neuroplus investigations
Nerve conduction study (NCS),Neuroplus investigations
