"FieldType0","FieldLabel0","FieldOptions0","FieldOptionsScores0","FieldType1","FieldLabel1","FieldOptions1","FieldOptionsScores1","FieldType2","FieldLabel2","FieldOptions2","FieldOptionsScores2","FieldType3","FieldLabel3","FieldOptions3","FieldOptionsScores3","FieldType4","FieldLabel4","FieldOptions4","FieldOptionsScores4","FieldType5","FieldLabel5","FieldOptions5","FieldOptionsScores5","FieldType6","FieldLabel6","FieldOptions6","FieldOptionsScores6","FieldType7","FieldLabel7","FieldOptions7","FieldOptionsScores7","FieldType8","FieldLabel8","FieldOptions8","FieldOptionsScores8","FieldType9","FieldLabel9","FieldOptions9","FieldOptionsScores9","FieldType10","FieldLabel10","FieldOptions10","FieldOptionsScores10","FieldType11","FieldLabel11","FieldOptions11","FieldOptionsScores11","FieldType12","FieldLabel12","FieldOptions12","FieldOptionsScores12","FieldType13","FieldLabel13","FieldOptions13","FieldOptionsScores13","FieldType14","FieldLabel14","FieldOptions14","FieldOptionsScores14","FieldType15","FieldLabel15","FieldOptions15","FieldOptionsScores15","FieldType16","FieldLabel16","FieldOptions16","FieldOptionsScores16","FieldType17","FieldLabel17","FieldOptions17","FieldOptionsScores17","FieldType18","FieldLabel18","FieldOptions18","FieldOptionsScores18","FieldType19","FieldLabel19","FieldOptions19","FieldOptionsScores19","NumberFields","formInfo","formRef","formula","resultUnits","tagLine","title","sections"
"button","Alertness","Normal,Mild sleepiness for <10secs after waking then normal,Clearly abnormal","0,0,4","button","AMT 4: Age / DOB / Place / Year","No mistakes,1 mistake,≥2 mistakes or untestable","0,1,2","button","Attention: list months in reverse order starting December","Lists ≥7 months correctly,Starts but lists <7 months or refuses to start,Untestable","0,1,2","button","Acute change / Fluctuating course: evidence of change or fluctuation in mental status within last 2 weeks and persisting in last 24 hours","Yes,No","4,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","4","4ASDELERIUMinfo","Bellelli G, Morandi A, Davis DH, Mazzola P, Turco R, Gentile S, Ryan T, Cash H, Guerini F, Torpilliesi T, Del Santo F.$$Validation of the 4AT, a new instrument for rapid delirium screening: a study in 234 hospitalised older people. Age and ageing. 2014 Mar 2;43(4):496-502.$$https://academic.oup.com/ageing/article-abstract/43/4/496/2812210££De J, Wand AP, Smerdely PI, Hunt GE.$$Validating the 4A's test in screening for delirium in a culturally diverse geriatric inpatient population. International Journal of Geriatric Psychiatry. 2017 Dec;32(12):1322-9.$$https://onlinelibrary.wiley.com/doi/abs/10.1002/gps.4615££Lees R, Corbet S, Johnston C, Moffitt E, Shaw G, Quinn TJ.$$Test accuracy of short screening tests for diagnosis of delirium or cognitive impairment in an acute stroke unit setting. Stroke. 2013 Nov;44(11):3078-83.$$https://www.ahajournals.org/doi/abs/10.1161/strokeaha.113.001724","nil","points","Screening for delirium in older patients","4As DELIRIUM","All,Neuro,Old,Psych"
"button","Age (years)","<50,50-59,60-69,70-79,≥80","0,2,4,6,7","button","Sex","Male,Female","1,0","button","Number of co-morbidities (chronic disease):  Cardiac / Respiratory (excluding asthma) / Renal (eGFR ≤30) / Liver / Dementia / Neurological conditions / Connective tissue / Diabetes / HIV or AIDS / Malignancy","0,1,≥2","0,1,2","button","Respiratory rate (min)","<20,20-29,≥30","0,1,2","button","SaO₂ on room air","≥92%,<92%","0,2","button","GCS","15,<15","0,2","button","Urea","<7mmol/L or <42mg/dL,7-14mmol or 42-84mg/dL,>14mmol or >84mg/dL","0,1,3","button","CRP","<50mg/dL,5-9.9mg/dL,≥10mg/dL","0,1,2","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","8","4CMORTALITYinfo","Knight SR, Ho A, Pius R, Buchan I, Carson G, Drake TM, Dunning J, Fairfield CJ, Gamble C, Green CA, Gupta R.$$Risk stratification of patients admitted to hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: development and validation of the 4C Mortality Score. bmj. 2020 Sep 9;370.$$https://www.bmj.com/content/370/bmj.m3339.long££Jones A, Pitre T, Junek M, Kapralik J, Patel R, Feng E, Dawson L, Tsang JL, Duong M, Ho T, Beauchamp MK.¬¨‚Ä†$$External validation of the 4C mortality score among COVID-19 patients admitted to hospital in Ontario, Canada: a retrospective study. Scientific reports. 2021 Sep 20;11(1):18638.$$https://www.nature.com/articles/s41598-021-97332-1","nil","points","Predicts in-hospital mortality in patients admitted with COVID-19","4C MORTALITY","All,CriticalCare,Resp"
"button","Age (years)","<50,50-64,>64","-2,-1,0","button","Sex","Male,Female","2,0","button","Chronic respiratory disease","Yes,No","-1,0","button","Heart rate <80","Yes,No","-1,0","button","Chest pain & Acute dyspnea","Yes,No","1,0","button","Current Oestrogen use","Yes,No","2,0","button","PMH of VTE","Yes,No","2,0","button","Syncope","Yes,No","2,0","button","Immobility within the last four weeks","Yes,No","2,0","button","SpO₂ <95%","Yes,No","3,0","button","Calf pain and /or unilateral lower limb oedema","Yes,No","3,0","button","PE most likely diagnosis","Yes,No","5,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","12","4PEPSinfo","Roy PM, Friou E, Germeau B, Douillet D, Kline JA, Righini M, Le Gal G, Moumneh T, Penaloza A.$$Derivation and validation of a 4-level clinical pretest probability score for suspected pulmonary embolism to safely decrease imaging testing. JAMA cardiology. 2021 Jun 1;6(6):669-77.$$https://jamanetwork.com/journals/jamacardiology/article-abstract/2776853££Chiang P, Robert-Ebadi H, Perrier A, Roy PM, Sanchez O, Righini M, Le Gal G$$Pulmonary Embolism Risk Stratification: External Validation of the 4-Level Clinical Pretest Probability Score (4PEPS). Research and Practice in Thrombosis and Haemostasis. 2024 Feb 15:102348$$https://www.sciencedirect.com/science/article/pii/S2475037924000372","nil","points","4-Level Pulmonary Embolism Clinical Probability Score (4PEPS): Rules out PE based on clinical criteria","4PEPS","All,Emergency,Resp"
"button","Thrombocytopenia","Platelet count fall >50% AND platelet nadir ≥20,Platelet count fall 30-50% OR platelet nadir 10-19,Platelet count fall <30% OR platelet nadir <10","2,1,0","button","Timing of platelet count fall","Clear onset between days 5-10 OR platelet fall ≤1 day (prior heparin exposure within 30 days),Consistent with days 5-10 fall but not clear; onset after day 10 OR fall ≤1 day (prior heparin exposure 30-100 days ago),Platelet count fall <4 days without recent exposure","2,1,0","button","Thrombosis or other sequelae","New thrombosis OR skin necrosis; acute systemic reaction post-IV heparin bolus,Progressive OR recurrent thrombosis; non-necrotizing skin lesions; suspected thrombosis (not proven),None","2,1,0","button","Other causes for thrombocytopenia","None,Possible,Definite","2,1,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","4","4Tsinfo","AndersLo GK, Juhl D, Warkentin TE, Sigouin CS, Eichler P, Greinacher A.son M, Andersson RE.$$Evaluation of pretest clinical score (4 T's) for the diagnosis of heparin‚Äö√Ñ√™induced thrombocytopenia in two clinical settings. Journal of Thrombosis and Haemostasis. 2006 Apr 1;4(4):759-65.$$https://www.sciencedirect.com/science/article/pii/S1538783622130849££Vatanparast R, Lantz S, Ward K, Crilley PA, Styler M.$$Vatanparast R, Lantz S, Ward K, Crilley PA, Styler M. Evaluation of a pretest scoring system (4Ts) for the diagnosis of heparin-induced thrombocytopenia in a university hospital setting. Postgraduate medicine. 2012 Nov 1;124(6):36-42.$$https://www.tandfonline.com/doi/abs/10.3810/pgm.2012.11.2611","nil","points","Differentiates patients with Heparin-Induced Thrombocytopenia from those with other causes of thrombocytopenia","4Ts HIT Score","All,Haem"
"button","Sex","Male,Female","1,0","numerical","Height","cm","0","numerical","Age 40-80","years","0","numerical","Weight","kg","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","4","6MINUTEWALKDISTANCEinfo","Enright PL, Sherrill DL.$$Reference equations for the six-minute walk in healthy adults. American journal of respiratory and critical care medicine. 1998 Nov 1;158(5):1384-7.$$https://www.atsjournals.org/doi/abs/10.1164/ajrccm.158.5.9710086££Enright PL, McBurnie MA, Bittner V, Tracy RP, McNamara R, Arnold A, Newman AB.$$The 6-min walk test: a quick measure of functional status in elderly adults. Chest. 2003 Feb 1;123(2):387-98.$$https://www.sciencedirect.com/science/article/pii/S0012369215324466££TS Committee on Proficiency Standards for Clinical Pulmonary Function Laboratories.$$ATS statement: guidelines for the six-minute walk test. Am J Respir Crit Care Med. 2002;166:111-7.$$https://www.ncbi.nlm.nih.gov/pubmed/12091180","6minWalk","m","Calculates reference values for distance walked, as a measure of functional status","6 MINUTE WALK DISTANCE","All,GP,MSK,Old"
"button","Age ≥ 60 years","Yes,No","1,0","button","BP ≥ 140/90 mmHg","Yes,No","1,0","button","Clinical features of the TIA","Unilateral weakness,Speech disturbance without weakness,Other symptoms","2,1,0","button","Duration of symptoms","<10 mins,10-59 mins,≥ 60 mins","0,1,2","button","History of diabetes","Yes,No","1,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","5","ABCD2info","Johnston SC, Rothwell PM, Nguyen-Huynh MN, Giles MF, Elkins JS, Bernstein AL, Sidney S.$$Validation and refinement of scores to predict very early stroke risk after transient ischaemic attack. The Lancet. 2007 Jan 27;369(9558):283-92.$$https://www.sciencedirect.com/science/article/pii/S0140673607601500££Josephson SA, Sidney S, Pham TN, Bernstein AL, Johnston SC.$$Higher ABCD2 score predicts patients most likely to have true transient ischemic attack. stroke. 2008 Nov 1;39(11):3096-8.$$https://www.ahajournals.org/doi/abs/10.1161/STROKEAHA.108.514562","nil","points","Estimates the risk of stroke after a suspected transient ischemic attack (TIA)","ABCD2","All,Emergency,GP,Neuro,Old"
"button","Morning stiffness duration",">45 mins,≤45 mins","2,0","button","Hip pain or limited range of motion","Yes,No","1,0","button","Rheumatoid factor (RF) or Anti-cyclic citrullinated peptide antibody (ACPA)","Absent,Present","2,0","button","Other joint pain","Yes,No","1,0","command","Ultrasound criteria","%","0","button","Both shoulders with Sub-deltoid bursitis, Biceps tenosynovitis or Glenohumeral synovitis","Yes,No","1,0","button","One shoulder with Sub-deltoid bursitis and/or Biceps tenosynovitis and/or Glenohumeral synovitis and at least one Hip with synovitis and/or Trochanteric bursitis","Yes,No","1,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","7","ACR-EULARPMRinfo","Dasgupta B, Cimmino MA, Kremers HM, Schmidt WA, Schirmer M, Salvarani C, Bachta A, Dejaco C, Duftner C, Jensen HS, Duhaut P$$2012 provisional classification criteria for polymyalgia rheumatica: a European League Against Rheumatism/American College of Rheumatology collaborative initiative. Arthritis & Rheumatism. 2012 Apr;64(4):943-54$$https://onlinelibrary.wiley.com/doi/abs/10.1002/art.34356££Initiative C$$2015 Recommendations for the Management of Polymyalgia Rheumatica$$https://www.rheumguide.ca/uploads/1/2/7/1/127151112/2015_recommendations_for_the_management_of_polymyalgia_rheumatica_a_european_league_against_rheumatismamerican_college_of_rheumatology_collaborative_initiative.pdf.pdf££Macchioni P, Boiardi L, Catanoso M, Pazzola G, Salvarani C$$Performance of the new 2012 EULAR/ACR classification criteria for polymyalgia rheumatica: comparison with the previous criteria in a single-centre study. Annals of the rheumatic diseases. 2014 Jun 1;73(6):1190-3$$https://ard.bmj.com/content/73/6/1190.short","nil","points","Diagnoses polymyalgia rheumatica (PMR) in patients based on 2012 EULAR/ACR criteria","ACR-EULAR PMR","All,GP,MSK"
"button","Joint involvement: Any swollen/tender joint on exam, excluding DIP joints and 1st CMC/MTP joints","1 large joint,2-10 large joints,1-3 small joints (+/- large joint involvement),4-10 small joints (+/- large joint involvement),>10 joints (at least 1 small joint)","0,1,2,3,5","button","Serology result: Low-positive = IU values >ULN but ≤3x ULN / High-positive = IU values >3x ULN / RF = Low-positive if reported only as positive or negative","Negative RF and Anti-CCP,Low positive RF or Anti-CCP,High positive RF or Anti-CCP","0,2,3","button","Acute-phase reactants","Normal CRP/ESR,Raised CRP/ESR","0,1","button","Duration of synovitis symptoms in joints clinically involved at the time of assessment, regardless of treatment status","<6 weeks,≥6 weeks","0,1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","4","ACR-EULARRAinfo","Kay J, Upchurch KS.$$ACR/EULAR 2010 rheumatoid arthritis classification criteria. Rheumatology. 2012 Dec 1;51(suppl_6):vi5-9.$$https://academic.oup.com/rheumatology/article-abstract/51/suppl_6/vi5/1787592","nil","points","Diagnoses rheumatoid arthritis (RA) in patients with undifferentiated inflammatory synovitis","ACR-EULAR RA","All,GP,MSK"
"button","Male sex","Yes,No","2,0","button","Previous patient-reported arthritis attack","Yes,No","2,0","button","Onset within 1 day","Yes,No","0.5,0","button","Joint redness","Yes,No","1,0","button","1st MTP involvement","Yes,No","2.5,0","button","Hypertension or ≥1 cardiac diseases","Yes,No","1.5,0","button","Serum uric acid > 0.35 mmol/L","Yes,No","3.5,0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","7","ACUTEGOUTDIAGNOSISinfo","Janssens HJ, Fransen J, Van de Lisdonk EH, van Riel PL, van Weel C, Janssen M.$$A diagnostic rule for acute gouty arthritis in primary care without joint fluid analysis. Archives of Internal Medicine. 2010 Jul 12;170(13):1120-6.$$https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/225738££Kienhorst LB, Janssens HJ, Fransen J, Janssen M.$$The validation of a diagnostic rule for gout without joint fluid analysis: a prospective study. Rheumatology. 2015 Apr 1;54(4):609-14.$$https://academic.oup.com/rheumatology/article-abstract/54/4/609/1799752","nil","points","Risk stratifies for gout vs non-gout arthritis","ACUTE GOUT DIAGNOSIS","All,Emergency,GP,MSK"
"button","How often do you have trouble wrapping up the final details of a project, once the challenging parts have been done?","Never,Rarely,Sometimes,Often,Very often","0,0,1,1,1","button","How often do you have difficulty getting things in order when you have to do a task that requires organisation?","Never,Rarely,Sometimes,Often,Very often","0,0,1,1,1","button","How often do you have problems remembering appointments or obligations?","Never,Rarely,Sometimes,Often,Very often","0,0,1,1,1","button","When you have a task that requires a lot of thought, how often do you avoid or delay getting started?","Never,Rarely,Sometimes,Often,Very often","0,0,0,1,1","button","How often do you fidget or squirm with your hands or feet when you have to sit down for a long time?","Never,Rarely,Sometimes,Often,Very often","0,0,0,1,1","button","How often do you feel overly active and compelled to do things, like you were driven by a motor?","Never,Rarely,Sometimes,Often,Very often","0,0,0,1,1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","6","ADHDinfo","Kessler RC, Adler L, Ames M, Demler O, Faraone S, Hiripi EV, Howes MJ, Jin R, Secnik K, Spencer T, Ustun TB$$The World Health Organization Adult ADHD Self-Report Scale (ASRS): a short screening scale for use in the general population. Psychological medicine. 2005 Feb;35(2):245-56$$https://www.cambridge.org/core/journals/psychological-medicine/article/world-health-organization-adult-adhd-selfreport-scale-asrs-a-short-screening-scale-for-use-in-the-general-population/28DF9AC948CE49D49B42AE9DABA325C1££Adler LA, Spencer T, Faraone SV, Kessler RC, Howes MJ, Biederman J, Secnik K$$Validity of pilot Adult ADHD Self-Report Scale (ASRS) to rate adult ADHD symptoms. Annals of Clinical Psychiatry. 2006 Jan 1;18(3):145-8$$https://www.tandfonline.com/doi/abs/10.3109/10401230600801077","nil","points","Used as diagnostic tool for adult ADHD","ADHD-ADULT SELF-REPORT SCALE","All,GP,Psych"
