Domain,Core Conditionsÿ
Cardiology,Acute coronary syndromeÿ
Cardiology,Cardiac arrestÿ
Cardiology,Anginaÿ
Cardiology,Atrial fibrillationÿ
Cardiology,Atrial arrhythmiasÿ
Cardiology,Complete heart blockÿ
Cardiology,Ventricular tachycardiaÿ
Cardiology,Acute Heart failureÿ
Cardiology,Chronic Heart Failure
Cardiology,Essential and Secondary Hypertension
Cardiology,Infective?Endocarditis
Cardiology,Cardiac tamponade
Cardiology,Acute pericarditis?
Cardiology,Pericardial effusion
Cardiology,Constrictive pericarditis
Cardiology,Aortic valve disease
Cardiology,Mitral valve disease?
Cardiology,Right heart valve
Cardiology,Myocarditis
Cardiology,Cardiomyopathy?
Dermatology,Atopic dermatitis
Dermatology,Irritant contact dermatitis
Dermatology,Allergic contact dermatitis
Dermatology,Erythroderma
Dermatology,Other eczema
Dermatology,Melanoma?
Dermatology,Squamous cell carcinoma
Dermatology,Basal cell carcinoma
Dermatology,Actinic Keratosis
Dermatology,Bowen's Disease
Dermatology,Cutaneous Lymphoma
Dermatology,Melanocytic naevi?
Dermatology,Seborrhoeic keratoses
Dermatology,Impetigo
Dermatology,Erysipelas?
Dermatology,Cellulitis?
Dermatology,Necrotising fasciitis?
Dermatology,Folliculitis
Dermatology,Herpes simplex?virus
Dermatology,Varicella zoster
Dermatology,Viral warts
Dermatology,Scabies?
Dermatology,Head lice
Dermatology,Urticaria
Dermatology,Steven-Johnson syndrome
Dermatology,Toxic epidermal necrolysis?
Dermatology,Drug eruptions?
Dermatology,Erythema nodosum
Dermatology,Erythema multiforme
Dermatology,Venous ulcers
Dermatology,Pemphigus vulgaris?
Dermatology,Bullous pemphigoid
Dermatology,Rosacea
Dermatology,Psoroasis 
Dermatology,Acne Vulgaris
Endocrine ,Type 1 diabetesÿ
Endocrine ,Type 2 diabetesÿ
Endocrine ,Diabetes in pregnancyÿ-Gestational
Endocrine ,Diabetes in pregnancyÿ-pre existing
Endocrine ,Diabetic ketoacidosisÿ
Endocrine ,Hyperosmolar hyperglycaemic state?
Endocrine ,Diabetic nephropathy
Endocrine ,Diabetic neuropathy
Endocrine ,Diabetic retinopathy
Endocrine ,Hypoglycaemia
Endocrine ,Hypothyroidismÿ
Endocrine ,Thyrotoxicosisÿÿ
Endocrine ,Thyroid cancerÿ
Endocrine ,Thyroid eye diseaseÿ
Endocrine ,Thyroid nodulesÿ
Endocrine ,Addison?s diseaseÿ
Endocrine ,Cushing?s syndromeÿ
Endocrine ,Conn?s syndromeÿ
Endocrine ,Cushing?s diseaseÿ
Endocrine ,Pituitary tumoursÿ
Endocrine ,Diabetes insipidusÿ
Endocrine ,Hyperparathyroidism
Endocrine ,Hypoparathyroidism
Endocrine ,Hypercalcaemia?
Endocrine ,Hypocalcaemia
Endocrine ,Obesity 
Endocrine ,Polycystic Ovarian Syndrome (PCOS) and Hirsutism
Endocrine ,Hyperlipidaemia
Endocrine ,SIADH
Endocrine ,Hypothermia and hyperthermia
,Adverse Drug Reactions
Endocrine ,Poisoning and overdose
Gastrointestinal ,Gastric cancer?
Gastrointestinal ,Gastro-oesophageal reflux disease and hiatus hernia
Gastrointestinal ,Peptic ulcer disease and gastritis
Gastrointestinal ,Oesophageal cancer
Gastrointestinal ,Gallstones and biliary colic
Gastrointestinal ,Acute pancreatitis
Gastrointestinal ,Chronic pancreatitis
Gastrointestinal ,Pancreatic cancer
Gastrointestinal ,Acute hepatic failure
Gastrointestinal ,Acute hepatitis
Gastrointestinal ,Alcoholic hepatitis
Gastrointestinal ,Cirrhosis
Gastrointestinal ,Non-Alcoholic fatty liver
Gastrointestinal ,Viral hepatitis
Gastrointestinal ,Autoimmune hepatitis
Gastrointestinal ,Drug-induced hepatitis
Gastrointestinal ,Ascites
Gastrointestinal ,Haemochromatosis
Gastrointestinal ,Hepatocellular cancer and Liver metastasis
Gastrointestinal ,Metastatic disease 
Gastrointestinal ,Colorectal tumours
Gastrointestinal ,Inflammatory bowel disease
Gastrointestinal ,Diverticular disease
Gastrointestinal ,Malabsorption
Gastrointestinal ,Malabsorption -Coeliac disease
Gastrointestinal ,Helicobacter pyloriÿ
Gastrointestinal ,Infectious colitisÿ
